,stop_lat,stop_lon,members,stop_id
82,-34.657718,-58.369682,"[np.float64(635122355.0), np.float64(635122353.0), np.float64(635122352.0), np.float64(635122354.0), np.float64(635122351.0)]",
83,-34.647318,-58.484127,"[np.float64(203653.0), np.float64(203654.0), np.float64(2031525.0), np.float64(203658.0), np.float64(203657.0)]",
84,-34.567887,-58.437668,"[np.float64(203921.0), np.float64(203917.0), np.float64(203916.0), np.float64(203922.0), np.float64(203918.0)]",
85,-34.660492,-58.649258,"[np.float64(6568111879.0), np.float64(6568111877.0), np.float64(6568111876.0), np.float64(6568132055.0), np.float64(6568111878.0), np.float64(6568118512.0), np.float64(6568131707.0)]",
86,-34.586888,-58.385363,"[np.float64(204576.0), np.float64(204578.0), np.float64(204579.0), np.float64(204577.0), np.float64(207283.0), np.float64(204575.0)]",
87,-34.713552,-58.46838,"[np.float64(6490108823.0), np.float64(6490108825.0), np.float64(6490108824.0), np.float64(6490109649.0), np.float64(6490109650.0), np.float64(6490105037.0), np.float64(6490105036.0)]",
88,-34.631295,-58.387665,"[np.float64(206467.0), np.float64(206881.0), np.float64(2031407.0), np.float64(205469.0), np.float64(2033009.0)]",
89,-34.719693,-58.460102,"[np.float64(6490113823.0), np.float64(6490113824.0), np.float64(6490113825.0), np.float64(6490122945.0), np.float64(6490122946.0), np.float64(6490108701.0), np.float64(6490108702.0)]",
90,-34.722863,-58.260662,"[np.float64(6658103434.0), np.float64(6658103431.0), np.float64(6658103432.0), np.float64(6658103433.0), np.float64(6658117487.0)]",
91,-34.590005,-58.465985,"[np.float64(202657.0), np.float64(202658.0), np.float64(202660.0), np.float64(202659.0), np.float64(202661.0), np.float64(201934.0), np.float64(201933.0)]",
92,-34.826742,-58.386727,"[np.float64(628107191.0), np.float64(628107192.0), np.float64(628107193.0), np.float64(628102440.0), np.float64(628102439.0)]",
93,-34.60514,-58.40565,"[np.float64(207668.0), np.float64(204394.0), np.float64(2031664.0), np.float64(204509.0), np.float64(207667.0), np.float64(2031274.0)]",
94,-34.65734,-58.643933,"[np.float64(6568111233.0), np.float64(6568111234.0), np.float64(6568123458.0), np.float64(6568111200.0), np.float64(6568111199.0), np.float64(6568110365.0), np.float64(6568130913.0)]",
95,-34.682717,-58.554813,"[np.float64(6427100264.0), np.float64(6427100265.0), np.float64(6427100267.0), np.float64(6427100266.0), np.float64(6427100268.0)]",
96,-34.825455,-58.349827,"[np.float64(628109263.0), np.float64(628109262.0), np.float64(628109261.0), np.float64(628107753.0), np.float64(628107752.0)]",
97,-34.760783,-58.48089,"[np.float64(6260108691.0), np.float64(6260108690.0), np.float64(6260109123.0), np.float64(6260123372.0), np.float64(6260123373.0)]",
98,-34.590097,-58.633192,"[np.float64(6408100277.0), np.float64(6408100279.0), np.float64(6408100276.0), np.float64(6408100278.0), np.float64(6408112890.0)]",
99,-34.74923,-58.29129,"[np.float64(6658102429.0), np.float64(6658102430.0), np.float64(6658102431.0), np.float64(6658116838.0), np.float64(6658116837.0)]",
100,-34.497705,-58.708645,"[np.float64(6515113699.0), np.float64(6515113698.0), np.float64(6515129816.0), np.float64(6515129817.0), np.float64(6515115846.0)]",
101,-34.808973,-58.401785,"[np.float64(628106511.0), np.float64(628106512.0), np.float64(628113501.0), np.float64(628126225.0), np.float64(628119906.0)]",
102,-34.6056,-58.421265,"[np.float64(207044.0), np.float64(202141.0), np.float64(2033028.0), np.float64(202147.0), np.float64(202145.0), np.float64(202192.0)]",
103,-34.705165,-58.440227,"[np.float64(6490108891.0), np.float64(6490108890.0), np.float64(6490108892.0), np.float64(6490113708.0), np.float64(6490134097.0)]",
104,-34.817798,-58.339648,"[np.float64(628112577.0), np.float64(628112578.0), np.float64(628107151.0), np.float64(628107150.0), np.float64(628100659.0)]",
105,-34.693502,-58.450165,"[np.float64(6490129773.0), np.float64(6490129772.0), np.float64(6490112232.0), np.float64(6490109023.0), np.float64(6490132636.0), np.float64(6490132637.0)]",
106,-34.546502,-58.581867,"[np.float64(6371103701.0), np.float64(6371103700.0), np.float64(6371135061.0), np.float64(6371133994.0), np.float64(6371126327.0)]",
107,-34.460955,-58.572947,"[np.float64(6749110258.0), np.float64(6749110256.0), np.float64(6749110255.0), np.float64(6749110257.0), np.float64(6749115656.0), np.float64(6749123044.0)]",
108,-34.611557,-58.405797,"[np.float64(204519.0), np.float64(204406.0), np.float64(204405.0), np.float64(202709.0), np.float64(204520.0), np.float64(204407.0), np.float64(204521.0)]",
